Master Doküman Listesi;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Doküman Kodu;Doküman Adý;;Doküman Ýngilizce Adý;Tipi;Hazýrlama Tarihi;"Revizyon
No";"Revizyon
Tarihi";Revize Eden;Sorumlu Kýsým;Revizyon Nedeni;Revizyon;Son Gözden Geçirme Tarihi;Gelecek Gözden Geçirme Tarihi;Gözden Geçirme Periyodu ;Onay Tarihi;Kullanýldýðý Süreçler;Doküman Sorumlusu;Arþivleme Süresi
KD.BC.080.24;Madde Kullanýmýnda Toksikolojik Analiz Bilgi Notu;;;Doküman;05.07.2024;0;05.07.2024;Duygu Kurumlu;Bilimsel Çalýþmalar;Yeni Doküman;;05.07.2024;05.01.2025;6;05.07.2024;;Duygu Kurumlu;60
KD.BC.081.20;Nargilenin_Psikolojik_Etkileri_hk_Bilgi_Notu;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.081.24;TBMM Uyuþturucu Madde Baðýmlýlýðý Teknik Rapor Özeti;;;Kayýt;05.07.2024;0;05.07.2024;Duygu Kurumlu;Bilimsel Çalýþmalar;Yeni Doküman;;05.07.2024;;;05.07.2024;;Duygu Kurumlu;60
KD.BC.082.20;Nikotinin Covid19 Etkisi- Uluslararasý Görüþler;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.082.24;2023 Dünya Uyuþturucu Raporu Önemli Noktalar;;;Kayýt;05.07.2024;0;05.07.2024;Duygu Kurumlu;Bilimsel Çalýþmalar;Yeni Doküman;;05.07.2024;;;05.07.2024;;Duygu Kurumlu;60
KD.BC.083.20;Recep Erol Sezer_Yeþilay Sigara-Covid 19;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.083.24;Avrupa Uyuþturucu Madde Raporu 2024;;;Kayýt;05.07.2024;0;05.07.2024;Duygu Kurumlu;Bilimsel Çalýþmalar;Yeni Doküman;;05.07.2024;;;05.07.2024;;Duygu Kurumlu;60
KD.BC.084.20;Tütün Baðýmlýlýðý ile Mücadele Teknik Raporu 2020;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.084.24;Digital2024-Global Statshot Report - April;;;Kayýt;05.07.2024;0;05.07.2024;Feride Yüksel Barýþ;Bilimsel Çalýþmalar;Yeni Doküman;;05.07.2024;;;05.07.2024;;;60
KD.BC.085.20;Tütün Ürünü Vergileri - Bilgi Notu;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.085.24;Geopoll Report Betting in Africa 2024;;;Kayýt;05.07.2024;0;05.07.2024;Ýrem Yalçýnkaya;Bilimsel Çalýþmalar;Yeni Doküman;;05.07.2024;;;05.07.2024;;Ýrem Yalçýnkaya;60
KD.BC.086.20;Tütün ve Tütün Ürünü Kullanýmý Alanýnda Ülke Raporlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.086.24;DSÖ HBSC Araþtýrmasý Alkol Bilgi Notu;;;Kayýt;05.07.2024;0;05.07.2024;Nesrin Özkan;Bilimsel Çalýþmalar;Yeni Doküman;;05.07.2024;;;05.07.2024;;Nesrin Özkan;60
KD.BC.087.20;YEÞÝLAY_TobaccoMediaWorks_November;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.087.24;DSÖ HBSC Araþtýrmasý Tütün Bilgi Notu;;;Kayýt;05.07.2024;0;05.07.2024;Nesrin Özkan;Bilimsel Çalýþmalar;Yeni Doküman;;05.07.2024;;;05.07.2024;;Nesrin Özkan;60
KD.BC.088.20;YEÞÝLAY_TobaccoMediaWorks_October;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.089.20;BAÐIMLILIK ÝLE ÝLGÝLÝ ÇALIÞAN ULUSAL STKLAR;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.090.20;Bilimsel Çalýþmalar Bülteni 2020-1;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.091.20;Bilimsel Çalýþmalar Bülteni 2020-2;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.092.20;Bilimsel Çalýþmalar Bülteni 2020-3;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.093.20;21. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.094.20;22. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.095.20;23. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.096.20;24. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.097.20;25. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.098.20;26. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.099.20;27. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.100.20;28. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.101.20;29. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.102.20;30. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.103.20;31. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.104.20;32. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.105.20;33. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.106.20;34. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.107.20;35. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.108.20;36. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.109.20;37. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.110.20;38. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.111.20;39. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.112.20;40. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.113.20;41. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.114.20;42. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.115.20;43. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.116.20;44. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.117.20;45. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.118.20;46. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.119.20;47. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.120.20;48. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.121.20;49. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.122.20;50. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.123.20;51. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.124.20;52. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.125.20;53. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.126.20;54. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.127.20;55. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.128.20;56. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.129.20;57. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.130.20;58. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.131.20;59. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.132.20;60. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.133.20;61. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.134.20;62. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.135.20;63. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.136.20;64. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.137.20;65. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.138.20;66. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.139.20;67. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.140.20;68. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.141.20;69. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.142.20;70. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.143.20;71. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.144.20;72. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.145.20;73. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.146.20;74. Bilim Kurulu Toplantý Kararlarý;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Bilimsel Çalýþmalar;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.147.20;2313 Kapsamýndaki Yeni Maddeler Hakkýnda Mevzuat Bilgi Notu;;;Kayýt;29.12.2020;0;29.12.2020;Hatice Merve Baþar;Savunuculuk;QDMS'e geçiþ.;;29.12.2020;;;29.12.2020;;;0
KD.BC.148.20;GAPC 2020 International Registration Forms;;;Kayýt;10.03.2020;0;10.03.2020;Þebnem Þenol;Bilimsel Çalýþmalar;Yeni Doküman;;10.03.2020;;;10.03.2020;;Nesrin Özkan;0
KD.BC.149.20;GAPC 2020 Konferans Programý;;;Kayýt;06.03.2020;0;06.03.2020;Þebnem Þenol;Bilimsel Çalýþmalar;Yeni Doküman;;06.03.2020;;;06.03.2020;;Nesrin Özkan;0
KD.BC.150.20;GAPC2020 Konferans Raporu;;;Kayýt;06.03.2020;0;06.03.2020;Þebnem Þenol;Bilimsel Çalýþmalar;Yeni Doküman;;06.03.2020;;;06.03.2020;;Nesrin Özkan;0
KD.BC.151.20;GAPC2020 Yeþilay Side Event Raporu;;;Kayýt;12.03.2020;0;12.03.2020;Þebnem Þenol;Bilimsel Çalýþmalar;Yeni Doküman;;12.03.2020;;;12.03.2020;;Nesrin Özkan;0
KD.BC.152.20;63. CND Side Event Report FA ;;;Kayýt;02.03.2020;0;02.03.2020;Þebnem Þenol;Bilimsel Çalýþmalar;Yeni Doküman;;02.03.2020;;;02.03.2020;;Nesrin Özkan;0
KD.BC.153.20;63rd CND Pleanary Session Report HMB;;;Kayýt;02.03.2020;0;02.03.2020;Þebnem Þenol;Bilimsel Çalýþmalar;Yeni Doküman;;02.03.2020;;;02.03.2020;;Nesrin Özkan;0
KD.BC.154.20;2020 Küresel Etkinlik Takvimi;;;Kayýt;19.02.2020;0;19.02.2020;Þebnem Þenol;Bilimsel Çalýþmalar;Yeni Doküman;;19.02.2020;;;19.02.2020;;Nesrin Özkan;0
KD.BC.155.20;Küresel Bilimsel Etkinlik Takvimi 2021;;;Kayýt;20.11.2020;0;20.11.2020;Þebnem Þenol;Bilimsel Çalýþmalar;Yeni Doküman;;12.04.2021;;;12.04.2021;;;0
KD.BC.156.20;Bilimsel Toplantý Baðýmlýlýk Talep Formu Volkan Kara;;;Kayýt;07.10.2020;0;07.10.2020;Þebnem Þenol;Bilimsel Çalýþmalar;Yeni Doküman;;07.10.2020;;;07.10.2020;;;0
KD.BC.157.20;Burkon Sunum Okul Reddi;;;Kayýt;25.12.2020;0;25.12.2020;Þebnem Þenol;Bilimsel Çalýþmalar;Yeni Doküman;;25.12.2020;;;25.12.2020;;;0
KD.BC.158.20;Covid-19 Infection Pandemic & Alcohol Consumption;;;Kayýt;13.12.2020;0;13.12.2020;Þebnem Þenol;Bilimsel Çalýþmalar;Yeni Doküman;;13.12.2020;;;13.12.2020;;;0
KD.BC.159.20;GAPC2020 Global Network;;;Kayýt;25.12.2020;0;25.12.2020;Þebnem Þenol;Bilimsel Çalýþmalar;Yeni Doküman;;25.12.2020;;;25.12.2020;;;0
KD.BC.160.20;5. Kapasite Geliþtirme Sunumu ;;;Kayýt;25.12.2020;0;25.12.2020;Þebnem Þenol;Bilimsel Çalýþmalar;Yeni Doküman;;25.12.2020;;;25.12.2020;;;0
KD.BC.161.20;Ýl Saðlýk ve Yeþilay Tütün Kontrol Çalýþtayý;;;Kayýt;11.02.2020;0;12.02.2020;Þebnem Þenol;Bilimsel Çalýþmalar;Yeni Doküman;;12.02.2020;;;12.02.2020;;;0
KD.BC.162.20;ISAJE 2020 Annual Meeting Attendees;;;Kayýt;25.12.2020;0;25.12.2020;Þebnem Þenol;Bilimsel Çalýþmalar;Yeni Doküman;;25.12.2020;;;25.12.2020;;;0
KD.BC.163.20;ISAJE Virtual Annual Meeting 2020 Bilgi Notu;;;Kayýt;02.09.2020;0;02.09.2020;Þebnem Þenol;Bilimsel Çalýþmalar;Yeni Doküman;;02.09.2020;;;02.09.2020;;;0
KD.BC.164.20;Konuþmacý Deðerlendirme Raporu Volkan KARA;;;Kayýt;08.07.2020;0;08.07.2020;Þebnem Þenol;Bilimsel Çalýþmalar;Yeni Doküman;;08.07.2020;;;08.07.2020;;;0
KD.BC.165.20;5. Kapasite Geliþtirme Sunumu - Green Crescent - Prof. Dr. Merih ALTINTAÞ;;;Kayýt;09.12.2020;0;09.12.2020;Þebnem Þenol;Bilimsel Çalýþmalar;Yeni Doküman;;09.12.2020;;;09.12.2020;;;0
KD.BC.166.20;PDC Pandemi Okul Reddi - Senem BAÞGÜL;;;Kayýt;25.12.2020;0;25.12.2020;Þebnem Þenol;Bilimsel Çalýþmalar;Yeni Doküman;;25.12.2020;;;25.12.2020;;;0
KD.BC.167.20;5. Kapasite Geliþtirme Sunumu - Tobacco and Covid-19 Toker ERDÜGER;;;Kayýt;30.06.2020;0;30.06.2020;Þebnem Þenol;Bilimsel Çalýþmalar;Yeni Doküman;;30.06.2020;;;30.06.2020;;;0
KD.BC.168.20;Tütün Çalýþtayý 4. Grup Raporu;;;Kayýt;11.02.2020;0;11.02.2020;Þebnem Þenol;Bilimsel Çalýþmalar;Yeni Doküman;;11.02.2020;;;11.02.2020;;;0
KD.BC.169.20;Yeþilay Sunum CND Selda MERCAN;;;Kayýt;25.12.2020;0;25.12.2020;Þebnem Þenol;Bilimsel Çalýþmalar;Yeni Doküman;;25.12.2020;;;25.12.2020;;;0
KD.BC.170.20;Youth Advocacy Forum - Perihan TORUN;;;Kayýt;25.12.2020;0;25.12.2020;Þebnem Þenol;Bilimsel Çalýþmalar;Yeni Doküman;;25.12.2020;;;25.12.2020;;;0
KD.BC.171.20;2020 Yýlý Teknik Raporlar;;;Kayýt;20.11.2020;0;20.11.2020;Þebnem Þenol;Bilimsel Çalýþmalar;Yeni Doküman;;20.11.2020;;;20.11.2020;;Nesrin Özkan;0
KD.BC.172.20;APÝ Dokümaný - BT;;;Kayýt;30.06.2020;0;30.06.2020;Þebnem Þenol;Bilimsel Çalýþmalar;Yeni Doküman;;30.06.2020;;;30.06.2020;;Nesrin Özkan;0
KD.BC.173.20;Mevzuat;;;Kayýt;29.12.2020;0;29.12.2020;Þebnem Þenol;Bilimsel Çalýþmalar;Yeni Doküman;;29.12.2020;;;29.12.2020;;Nesrin Özkan;0
KD.BC.175.20;TBA Api;;;Kayýt;16.10.2020;0;16.10.2020;Þebnem Þenol;Bilimsel Çalýþmalar;Yeni Doküman;;16.10.2020;;;16.10.2020;;Nesrin Özkan;0
KD.BC.176.20;TBA Ýçerik Çalýþmasý;;;Kayýt;20.11.2020;0;20.11.2020;Þebnem Þenol;Bilimsel Çalýþmalar;Yeni Doküman;;20.11.2020;;;20.11.2020;;Nesrin Özkan;0
KD.BC.177.20;TBA Project Plan 01.10.2020;;;Kayýt;01.10.2020;0;01.10.2020;Þebnem Þenol;Bilimsel Çalýþmalar;Yeni Doküman;;01.10.2020;;;01.10.2020;;Nesrin Özkan;0
KD.BC.178.20;TBA Project Plan 07.07.2020;;;Kayýt;07.07.2020;0;07.07.2020;Þebnem Þenol;Bilimsel Çalýþmalar;Yeni Doküman;;07.07.2020;;;07.07.2020;;Nesrin Özkan;0
KD.BC.179.20;TBA Project Plan 22.07.2020;;;Kayýt;22.07.2020;0;22.07.2020;Þebnem Þenol;Bilimsel Çalýþmalar;Yeni Doküman;;22.07.2020;;;22.07.2020;;Nesrin Özkan;0
KD.BC.180.20;TBA Web Sitesi Kapsam ve Teknik Þartname;;;Kayýt;11.03.2020;0;11.03.2020;Þebnem Þenol;Bilimsel Çalýþmalar;Yeni Doküman;;11.03.2020;;;11.03.2020;;Nesrin Özkan;0
KD.BC.181.20;TBA  Addicta Entegrasyonu;;;Kayýt;29.12.2020;0;29.12.2020;Þebnem Þenol;Bilimsel Çalýþmalar;Yeni Doküman;;29.12.2020;;;29.12.2020;;Nesrin Özkan;0
KD.BC.182.20;Addicta Hakem ve Editör Aydýnlatma Metni KVKK;;;Kayýt;01.10.2020;0;01.10.2020;Þebnem Þenol;Bilimsel Çalýþmalar;Yeni Doküman;;01.10.2020;;;01.10.2020;;Nesrin Özkan;0
KD.BC.183.20;Addicta Baþ Editör Formu;;;Kayýt;12.11.2020;0;12.11.2020;Þebnem Þenol;Bilimsel Çalýþmalar;Yeni Doküman;;12.11.2020;;;12.11.2020;;Nesrin Özkan;0
KD.BC.186.20;100.Yýl Kongresi Tutanak Dýþ Ýliþkiler Birimi;;;Kayýt;11.03.2020;0;11.03.2020;Þebnem Þenol;Bilimsel Çalýþmalar;Yeni Doküman;;11.03.2020;;;11.03.2020;;;0
KD.BC.187.20;Hukuk Birimi Ýle Toplantý;;;Kayýt;02.07.2020;0;02.07.2020;Þebnem Þenol;Bilimsel Çalýþmalar;Yeni Doküman;;02.07.2020;;;02.07.2020;;;0
KD.BC.188.20;100.Yýl Bilimsel Etkinliði Toplantý Tutanaðý Mehmet DÝNÇ-03.01.2020;;;Kayýt;03.01.2020;0;03.01.2020;Þebnem Þenol;Bilimsel Çalýþmalar;Yeni Doküman;;03.01.2020;;;03.01.2020;;;0
KD.BC.189.20;100.Yýl Bilimsel Etkinliði Toplantý Tutanaðý Mehmet DÝNÇ-07.01.2020;;;Kayýt;07.01.2020;0;07.01.2020;Þebnem Þenol;Bilimsel Çalýþmalar;Yeni Doküman;;07.01.2020;;;07.01.2020;;;0
KD.BC.19.22;Güncel Basýn Bilgi Notu 23 ;;;Kayýt;01.12.2022;0;01.12.2022;;Bilimsel Çalýþmalar;Yeni Doküman;;01.12.2022;;;01.12.2022;;;0
